CityId,CountryId,StateId,Name,TimeZone,Latitude,Longitude
9949,231,27,Billings,-07:00,45.8078,-108.543
9950,17,NULL,Bimini,-05:00,25.7,-79.2833
9952,204,NULL,Bilbao,+01:00,43.3011,-2.91056
9954,74,NULL,Biarritz,+01:00,43.4683,-1.53111
9955,154,NULL,Biratnagar,+05:45,26.4814,87.2642
9956,231,29,Bismarck,-06:00,46.7728,-100.746
9964,4,NULL,Bejaia,+01:00,36.7119,5.07
9965,103,NULL,Bojnord,+03:30,37.4892,57.3064
9969,165,NULL,Batsfjord,+01:00,70.6003,29.6925
9972,231,24,Bemidji,-06:00,47.5167,-94.9333
9975,79,NULL,Banjul,+00:00,13.3381,-16.6522
9976,36,NULL,Bujumbura,+02:00,-3.32389,29.3186
9980,69,NULL,Bahar Dar,+03:00,11.6081,37.3217
9981,45,NULL,Beijing (Peking),+08:00,39.9194,116.433
9982,205,NULL,Bentota River,+05:30,6.41667,79.9833
9984,102,NULL,Bajawa,+08:00,-8.78333,120.967
9985,142,NULL,Leon/Guanajuato,-06:00,20.9933,-101.481
9986,204,NULL,Badajoz,+01:00,38.8914,-6.82139
9988,231,1,Buckland,-09:00,65.9817,-161.149
9993,133,NULL,Kota Kinabalu,+08:00,5.93722,116.053
9995,216,NULL,Bangkok,+07:00,13.7333,100.5
9996,133,NULL,Bakalalan,+08:00,3.97389,115.617
9998,135,NULL,Bamako,+00:00,12.5336,-7.95
10000,14,53,Blackall,+10:00,-24.4278,145.429
10002,102,NULL,Bengkulu,+07:00,-3.86361,102.339
10005,231,50,Beckley,-05:00,37.7872,-81.1242
10007,51,NULL,Bukavu,+02:00,-2.30889,28.8089
10009,236,NULL,Barcelona,-04:30,10.1072,-64.6892
10013,210,NULL,Borlange/Falun,+01:00,60.4219,15.5153
10017,231,48,Bellingham,-08:00,48.7928,-122.537
10018,4,NULL,Batna,+01:00,35.7522,6.30861
10019,230,NULL,Blackpool,+00:00,53.7714,-3.02833
10020,59,NULL,Billund,+01:00,55.7403,9.15167
10025,108,NULL,Bologna,+01:00,44.5308,11.2969
10026,101,NULL,Bangalore (Bengaluru),+05:30,12.95,77.6683
10028,14,53,Blackwater,+10:00,-23.6031,148.807
10034,132,NULL,Blantyre,+02:00,-15.6792,34.9739
10037,131,NULL,Belo,+03:00,-19.6867,44.5419
10038,14,57,Broome,+08:00,-17.9447,122.232
10042,231,15,Bloomington-Normal,-06:00,40.4772,-88.9158
10048,151,NULL,Bhamo,+06:30,24.2667,97.25
